Step,Epsilon_2,p,q,specificVoid
375,0.0375,741.208,744.549,1.93517
376,0.0376,741.42,745.227,1.93512
377,0.0377,741.63,745.903,1.93508
378,0.0378,741.84,746.575,1.93503
379,0.0379,742.049,747.244,1.93499
380,0.038,742.257,747.911,1.93495
381,0.0381,742.463,748.575,1.9349
382,0.0382,742.668,749.236,1.93486
383,0.0383,742.873,749.894,1.93481
384,0.0384,743.076,750.549,1.93477
385,0.0385,743.278,751.202,1.93473
386,0.0386,743.479,751.851,1.93468
387,0.0387,743.679,752.498,1.93464
388,0.0388,743.878,753.142,1.9346
389,0.0389,744.075,753.784,1.93455
390,0.039,744.272,754.422,1.93451
391,0.0391,744.467,755.058,1.93447
392,0.0392,744.661,755.691,1.93442
393,0.0393,744.855,756.321,1.93438
394,0.0394,745.047,756.948,1.93434
395,0.0395,745.238,757.572,1.9343
396,0.0396,745.427,758.194,1.93425
397,0.0397,745.616,758.813,1.93421
398,0.0398,745.803,759.429,1.93417
399,0.0399,745.99,760.043,1.93412
400,0.04,746.175,760.654,1.93408
401,0.0401,746.359,761.262,1.93404
402,0.0402,746.542,761.867,1.934
403,0.0403,746.724,762.469,1.93395
404,0.0404,746.905,763.069,1.93391
405,0.0405,747.084,763.666,1.93387
406,0.0406,747.263,764.26,1.93383
407,0.0407,747.44,764.852,1.93379
408,0.0408,747.616,765.441,1.93374
409,0.0409,747.791,766.027,1.9337
410,0.041,747.965,766.61,1.93366
411,0.0411,748.137,767.191,1.93362
412,0.0412,748.309,767.769,1.93358
413,0.0413,748.479,768.344,1.93353
414,0.0414,748.648,768.917,1.93349
415,0.0415,748.816,769.487,1.93345
416,0.0416,748.983,770.054,1.93341
417,0.0417,749.149,770.618,1.93337
418,0.0418,749.314,771.18,1.93333
419,0.0419,749.477,771.739,1.93328
420,0.042,749.639,772.296,1.93324
421,0.0421,749.8,772.85,1.9332
422,0.0422,749.96,773.401,1.93316
423,0.0423,750.119,773.949,1.93312
424,0.0424,750.276,774.495,1.93308
425,0.0425,750.433,775.038,1.93304
